epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.9844,1.5504,2.1942,1.83701,0.15692,0.18615,0.14624,0.04777,2.2934,12.5909,3.68365,0.000550054,0.000550054,0.000550054
2,89.8645,1.74151,1.81126,1.93296,0.02241,0.22325,0.01347,0.0041,2.71555,39.4538,6.54032,0.00109928,0.00109928,0.00109928
3,127.592,1.72402,1.82934,1.93368,0.45737,0.48147,0.42755,0.17817,1.93595,9.10608,2.9171,0.00164204,0.00164204,0.00164204
4,165.625,1.6375,1.66382,1.85599,0.68618,0.54564,0.61553,0.33318,1.66932,6.62373,2.35329,0.00163788,0.00163788,0.00163788
5,203.357,1.63225,1.57641,1.83159,0.46588,0.53781,0.51975,0.2502,1.69868,2.05951,2.13659,0.00162817,0.00162817,0.00162817
6,240.815,1.56333,1.53108,1.76923,0.72049,0.58136,0.64148,0.31019,1.72047,1.69304,2.13074,0.00161846,0.00161846,0.00161846
7,278.19,1.52459,1.49147,1.75158,0.77074,0.67738,0.7546,0.44149,1.38504,1.22583,1.83717,0.00160875,0.00160875,0.00160875
8,315.606,1.47183,1.35354,1.69805,0.81123,0.60636,0.71456,0.44276,1.37646,2.36139,1.814,0.00159905,0.00159905,0.00159905
9,353.045,1.42396,1.32624,1.6644,0.80568,0.74189,0.81464,0.50458,1.33107,1.31125,1.7632,0.00158934,0.00158934,0.00158934
10,390.619,1.40056,1.24807,1.65584,0.83765,0.72489,0.80746,0.50671,1.2903,1.03325,1.72373,0.00157963,0.00157963,0.00157963
11,428.264,1.40707,1.25177,1.6564,0.80845,0.68356,0.79312,0.50992,1.27366,1.03521,1.7155,0.00156992,0.00156992,0.00156992
12,465.839,1.32947,1.18349,1.60105,0.84624,0.72868,0.81645,0.52226,1.25438,1.0848,1.70283,0.00156021,0.00156021,0.00156021
13,503.916,1.35995,1.21068,1.61257,0.86766,0.72268,0.82508,0.5301,1.19077,1.02148,1.60538,0.00155051,0.00155051,0.00155051
14,541.444,1.32746,1.15698,1.58499,0.9226,0.72,0.84281,0.52845,1.2242,0.93101,1.62183,0.0015408,0.0015408,0.0015408
15,579.093,1.33644,1.10453,1.58541,0.93285,0.72101,0.85791,0.55828,1.2248,0.78512,1.64806,0.00153109,0.00153109,0.00153109
16,616.564,1.33437,1.11478,1.59757,0.89759,0.72308,0.80676,0.47801,1.37262,1.05171,1.80169,0.00152138,0.00152138,0.00152138
17,654.047,1.33254,1.13479,1.59993,0.87254,0.74788,0.83424,0.53544,1.24089,0.93089,1.67585,0.00151167,0.00151167,0.00151167
18,691.563,1.30331,1.09047,1.57673,0.91851,0.73754,0.85134,0.57218,1.16553,0.80793,1.56749,0.00150197,0.00150197,0.00150197
19,729.46,1.28636,1.02162,1.55733,0.83911,0.76807,0.84797,0.54114,1.29361,0.97917,1.65528,0.00149226,0.00149226,0.00149226
20,768.18,1.30049,1.08417,1.57372,0.89276,0.77385,0.86324,0.58017,1.19466,0.82773,1.61271,0.00148255,0.00148255,0.00148255
21,846.735,1.27687,1.02874,1.53688,0.87846,0.76665,0.85376,0.59111,1.10849,0.75575,1.53345,0.00147284,0.00147284,0.00147284
22,942.693,1.27609,1.02112,1.53918,0.86653,0.8006,0.8866,0.57369,1.15165,0.78045,1.55284,0.00146314,0.00146314,0.00146314
23,1036.93,1.25243,1.02706,1.53052,0.82985,0.69581,0.82071,0.53359,1.23925,0.93822,1.62777,0.00145343,0.00145343,0.00145343
24,1135.91,1.24155,0.98383,1.51359,0.87455,0.82407,0.8899,0.60473,1.1008,0.72661,1.52219,0.00144372,0.00144372,0.00144372
25,1230.85,1.2265,0.96886,1.5238,0.93105,0.75976,0.88161,0.57684,1.22408,0.76902,1.59231,0.00143401,0.00143401,0.00143401
26,1306.1,1.25575,0.97867,1.51486,0.87655,0.81929,0.90104,0.60518,1.12962,0.72037,1.5186,0.0014243,0.0014243,0.0014243
27,1343.98,1.22918,0.9584,1.50739,0.76064,0.6836,0.78046,0.53087,1.12245,0.94577,1.51925,0.0014146,0.0014146,0.0014146
28,1381.96,1.24966,0.95779,1.51309,0.85807,0.79228,0.86832,0.60222,1.12134,0.76949,1.51706,0.00140489,0.00140489,0.00140489
29,1420.25,1.21652,0.95228,1.485,0.89479,0.75761,0.86619,0.58796,1.09115,0.7726,1.48946,0.00139518,0.00139518,0.00139518
30,1457.99,1.1902,0.9192,1.47274,0.87891,0.79152,0.87498,0.57053,1.14436,0.76154,1.5274,0.00138547,0.00138547,0.00138547
31,1495.52,1.23055,0.97027,1.51634,0.89888,0.79381,0.89394,0.62184,1.09511,0.70563,1.4743,0.00137577,0.00137577,0.00137577
32,1533.11,1.18535,0.90757,1.46046,0.87817,0.8084,0.87918,0.59476,1.09181,0.71497,1.49318,0.00136606,0.00136606,0.00136606
33,1570.47,1.21662,0.93971,1.50376,0.88944,0.79236,0.87579,0.59131,1.16404,0.72303,1.53716,0.00135635,0.00135635,0.00135635
34,1607.86,1.15969,0.89675,1.4648,0.86174,0.79813,0.88139,0.61813,1.0311,0.6886,1.43447,0.00134664,0.00134664,0.00134664
35,1645.26,1.15898,0.87439,1.45898,0.87795,0.76211,0.84179,0.57413,1.14497,0.78486,1.51672,0.00133693,0.00133693,0.00133693
36,1682.86,1.20613,0.92102,1.49899,0.8945,0.77731,0.88034,0.60149,1.10046,0.68006,1.49869,0.00132723,0.00132723,0.00132723
37,1720.54,1.21405,0.92584,1.48633,0.90342,0.78318,0.87714,0.59544,1.12619,0.75163,1.50688,0.00131752,0.00131752,0.00131752
38,1784.38,1.18724,0.87998,1.47618,0.94217,0.77102,0.90495,0.61719,1.0952,0.66896,1.48616,0.00130781,0.00130781,0.00130781
39,1881.32,1.16863,0.85994,1.46265,0.91164,0.80399,0.88127,0.60747,1.12859,0.67127,1.55576,0.0012981,0.0012981,0.0012981
40,1976.49,1.15448,0.85934,1.45047,0.9238,0.7962,0.89592,0.61516,1.07737,0.6628,1.48622,0.00128839,0.00128839,0.00128839
41,2039.35,1.18683,0.86712,1.466,0.92159,0.78636,0.88122,0.62845,1.02585,0.67002,1.45125,0.00127869,0.00127869,0.00127869
42,2077.08,1.15661,0.84026,1.45629,0.93691,0.78366,0.90462,0.62256,1.05794,0.63129,1.45517,0.00126898,0.00126898,0.00126898
43,2116.23,1.16021,0.84154,1.45965,0.94856,0.78738,0.8947,0.63028,1.08084,0.65918,1.47473,0.00125927,0.00125927,0.00125927
44,2154.12,1.1205,0.81432,1.43347,0.90437,0.78848,0.87628,0.61489,1.07122,0.69965,1.47518,0.00124956,0.00124956,0.00124956
45,2191.64,1.15231,0.83564,1.43845,0.92913,0.78108,0.87672,0.5912,1.22378,0.70284,1.61708,0.00123986,0.00123986,0.00123986
46,2229.14,1.13402,0.83323,1.43468,0.89033,0.79015,0.88497,0.61614,1.08638,0.69557,1.47927,0.00123015,0.00123015,0.00123015
