epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8981,1.44233,2.50714,1.78441,0.06196,0.42351,0.03606,0.00831,3.46141,300.865,13.9238,0.000543038,0.000543038,0.000543038
2,110.26,1.59969,1.73922,1.80457,0.00228,0.06803,0.00169,0.00025,4.0583,1727.4,14.9979,0.00108783,0.00108783,0.00108783
3,159.318,1.59048,1.58804,1.79556,0.05395,0.17347,0.04509,0.01239,2.88837,40.4027,5.67228,0.00162161,0.00162161,0.00162161
4,213.967,1.59012,1.67441,1.7882,0.5375,0.08163,0.01734,0.00507,3.4346,112.406,5.88533,0.00161749,0.00161749,0.00161749
5,263.673,1.51787,1.50444,1.7261,0.56547,0.51558,0.51166,0.26154,1.99882,6.42169,2.68501,0.00160099,0.00160099,0.00160099
6,316.468,1.49432,1.40243,1.71215,0.64985,0.5028,0.51681,0.30171,1.86307,6.21954,2.70179,0.00158448,0.00158448,0.00158448
7,365.935,1.44973,1.35564,1.68025,0.42368,0.3043,0.25415,0.12489,2.1133,5.10407,2.89509,0.00156798,0.00156798,0.00156798
8,415.288,1.39437,1.28081,1.63223,0.70455,0.65836,0.6924,0.40906,1.80675,2.31049,2.54044,0.00155148,0.00155148,0.00155148
9,465.173,1.35515,1.14773,1.60545,0.8065,0.66722,0.73831,0.47389,1.68746,1.50409,2.39033,0.00153497,0.00153497,0.00153497
10,517.123,1.34777,1.10609,1.59951,0.79703,0.67845,0.74269,0.39323,1.69809,2.0254,2.13305,0.00151847,0.00151847,0.00151847
11,567.28,1.34091,1.13771,1.59309,0.86024,0.67409,0.78822,0.47723,1.68223,1.57376,2.27119,0.00150197,0.00150197,0.00150197
12,628.278,1.32845,1.15845,1.58932,0.71187,0.6633,0.74364,0.47621,1.42284,2.25968,2.05885,0.00148546,0.00148546,0.00148546
13,682.834,1.29506,1.06776,1.55272,0.83096,0.66762,0.73741,0.41229,1.68898,1.38139,2.42594,0.00146896,0.00146896,0.00146896
14,732.535,1.29708,1.06112,1.55463,0.86127,0.7746,0.84332,0.54423,1.48313,2.15467,1.95302,0.00145246,0.00145246,0.00145246
15,782.871,1.29085,1.05639,1.54386,0.77384,0.64812,0.73762,0.45806,1.42001,1.72946,1.9514,0.00143595,0.00143595,0.00143595
