epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,832.936,1.23288,1.01696,1.50591,0.78186,0.72419,0.81593,0.54259,1.43761,1.36412,1.90585,0.00141945,0.00141945,0.00141945
17,882.521,1.21472,0.96215,1.50372,0.90888,0.73944,0.85689,0.58137,1.38245,1.17781,1.93075,0.00140295,0.00140295,0.00140295
18,938.354,1.22072,0.94269,1.47841,0.88655,0.77258,0.86092,0.5735,1.36382,1.13197,1.87568,0.00138644,0.00138644,0.00138644
19,987.663,1.25089,0.95076,1.50731,0.89637,0.79691,0.86572,0.57832,1.45799,2.389,2.00648,0.00136994,0.00136994,0.00136994
20,1038.89,1.23602,0.97961,1.52569,0.89779,0.70671,0.80121,0.52343,1.51047,1.21699,2.02726,0.00135344,0.00135344,0.00135344
21,1089.37,1.19519,0.91966,1.46837,0.83998,0.80624,0.86528,0.55494,1.52651,0.98766,2.09715,0.00133693,0.00133693,0.00133693
22,1142.22,1.20808,0.90162,1.4883,0.91335,0.81632,0.89911,0.59872,1.30915,0.92538,1.79116,0.00132043,0.00132043,0.00132043
23,1197.86,1.17664,0.86772,1.44732,0.93141,0.78986,0.88469,0.59058,1.45658,0.8439,1.99962,0.00130393,0.00130393,0.00130393
24,1252.74,1.20087,0.89442,1.47278,0.81012,0.7585,0.84069,0.5709,1.44008,0.92814,1.8745,0.00128742,0.00128742,0.00128742
25,1301.18,1.1976,0.87757,1.47802,0.91403,0.78597,0.87757,0.59975,1.39525,1.17931,1.94641,0.00127092,0.00127092,0.00127092
26,1352.3,1.17146,0.82501,1.44841,0.91636,0.82882,0.91109,0.63498,1.32188,0.7559,1.8322,0.00125442,0.00125442,0.00125442
27,1404.74,1.14182,0.82725,1.44976,0.91633,0.84821,0.93178,0.61799,1.30395,0.89988,1.77703,0.00123791,0.00123791,0.00123791
28,1458.63,1.1564,0.82848,1.42633,0.87766,0.82978,0.8997,0.62348,1.42198,0.80553,2.01541,0.00122141,0.00122141,0.00122141
29,1509.66,1.16199,0.82647,1.45138,0.9152,0.77884,0.88725,0.60389,1.21169,0.94709,1.6785,0.00120491,0.00120491,0.00120491
30,1558.69,1.1742,0.84392,1.46328,0.88523,0.7828,0.88738,0.60962,1.35184,1.42348,1.93688,0.0011884,0.0011884,0.0011884
31,1610.14,1.14952,0.82793,1.44459,0.92085,0.82596,0.90462,0.62943,1.25344,0.9663,1.7055,0.0011719,0.0011719,0.0011719
32,1660.33,1.10879,0.78759,1.40245,0.95683,0.80889,0.9176,0.64353,1.19659,0.66923,1.64691,0.0011554,0.0011554,0.0011554
33,1710.32,1.1256,0.80744,1.4117,0.91197,0.83401,0.92079,0.64507,1.20402,0.75714,1.63909,0.00113889,0.00113889,0.00113889
34,1761.43,1.07908,0.74925,1.37958,0.9294,0.75734,0.8966,0.6314,1.2903,0.87489,1.79906,0.00112239,0.00112239,0.00112239
35,1811.15,1.1057,0.77839,1.39267,0.88698,0.82413,0.91086,0.62605,1.2971,0.8845,1.71434,0.00110589,0.00110589,0.00110589
36,1861.94,1.08802,0.74776,1.38086,0.90078,0.78909,0.88503,0.62524,1.23707,0.93142,1.65217,0.00108938,0.00108938,0.00108938
37,1913.64,1.08735,0.76667,1.37565,0.90567,0.83375,0.92163,0.65806,1.26775,0.69471,1.71229,0.00107288,0.00107288,0.00107288
38,1973.62,1.09825,0.74049,1.40544,0.87528,0.83395,0.90213,0.61905,1.34933,0.88327,1.79976,0.00105638,0.00105638,0.00105638
39,2028.46,1.08666,0.74287,1.39242,0.8962,0.85398,0.9154,0.61957,1.33296,0.83375,1.7118,0.00103987,0.00103987,0.00103987
40,2079.02,1.06097,0.7444,1.37666,0.93795,0.85711,0.93442,0.66019,1.13792,0.71678,1.58978,0.00102337,0.00102337,0.00102337
41,2130.14,1.05891,0.71742,1.37461,0.93991,0.85856,0.93591,0.65496,1.22737,0.84044,1.65071,0.00100687,0.00100687,0.00100687
42,2187.18,1.06759,0.72867,1.3865,0.91696,0.80937,0.91468,0.64974,1.27161,0.69562,1.69811,0.000990365,0.000990365,0.000990365
43,2241.37,1.04877,0.7047,1.36122,0.92578,0.80937,0.92022,0.67054,1.16862,0.77074,1.64451,0.000973861,0.000973861,0.000973861
44,2291.25,1.07233,0.71669,1.37552,0.93727,0.86726,0.93796,0.66482,1.25493,0.63405,1.66736,0.000957358,0.000957358,0.000957358
45,2340.72,1.068,0.688,1.38686,0.9592,0.84193,0.9369,0.65762,1.30096,0.7106,1.79858,0.000940855,0.000940855,0.000940855
46,2392.58,1.07241,0.71891,1.36524,0.90839,0.83625,0.9044,0.62769,1.34575,0.78572,1.89444,0.000924352,0.000924352,0.000924352
47,2442.05,1.02946,0.66055,1.35956,0.93747,0.83512,0.92477,0.65423,1.20701,0.66246,1.63653,0.000907848,0.000907848,0.000907848
48,2493.38,1.0353,0.68108,1.3496,0.93146,0.83772,0.92392,0.62906,1.37939,0.76675,1.83084,0.000891345,0.000891345,0.000891345
49,2548.36,1.07168,0.68489,1.36588,0.88113,0.88029,0.92803,0.66057,1.30299,0.66928,1.84467,0.000874842,0.000874842,0.000874842
50,2603.58,1.02117,0.6759,1.34121,0.93166,0.88451,0.94676,0.66532,1.31795,0.6681,1.84826,0.000858338,0.000858338,0.000858338
51,2652.33,1.02403,0.65281,1.34835,0.87353,0.81929,0.90701,0.60725,1.37615,0.73525,1.86397,0.000841835,0.000841835,0.000841835
52,2704.53,1.01561,0.65292,1.32841,0.92669,0.85071,0.93211,0.67234,1.22398,0.60958,1.77474,0.000825332,0.000825332,0.000825332
53,2758.97,1.00541,0.6386,1.3278,0.91309,0.88937,0.94604,0.67567,1.2984,0.61315,1.82642,0.000808828,0.000808828,0.000808828
54,2808.52,1.00771,0.67218,1.3335,0.93568,0.85445,0.93392,0.67357,1.28641,0.81465,1.73703,0.000792325,0.000792325,0.000792325
55,2860.28,1.02774,0.67424,1.3417,0.90843,0.85667,0.92796,0.64869,1.29776,0.63921,1.7013,0.000775822,0.000775822,0.000775822
56,2915.87,0.98358,0.62645,1.30705,0.93176,0.88594,0.94282,0.67384,1.3377,0.66991,1.75037,0.000759318,0.000759318,0.000759318
57,2968.82,1.00086,0.63255,1.33077,0.89905,0.86631,0.92469,0.65159,1.32399,0.7108,1.75229,0.000742815,0.000742815,0.000742815
58,3019.57,0.99765,0.65076,1.33774,0.92323,0.84425,0.93115,0.68167,1.2906,0.6648,1.77885,0.000726312,0.000726312,0.000726312
59,3071.4,0.99382,0.61164,1.31492,0.9417,0.87383,0.93958,0.67524,1.17196,0.57078,1.6538,0.000709809,0.000709809,0.000709809
60,3120.41,0.9837,0.62358,1.2962,0.93192,0.88182,0.9372,0.66426,1.23248,0.56819,1.7348,0.000693305,0.000693305,0.000693305
61,3170.04,0.98176,0.6185,1.32278,0.91726,0.87573,0.9328,0.66531,1.2523,0.64975,1.75206,0.000676802,0.000676802,0.000676802
62,3219.39,0.95792,0.59068,1.2916,0.92554,0.89282,0.94035,0.67183,1.21331,0.61814,1.66087,0.000660299,0.000660299,0.000660299
63,3271.18,0.97445,0.58747,1.31103,0.93602,0.87961,0.9199,0.66789,1.05953,0.63416,1.49685,0.000643795,0.000643795,0.000643795
64,3322.51,0.95656,0.59397,1.30062,0.95046,0.84528,0.93785,0.67127,1.21071,0.6791,1.6498,0.000627292,0.000627292,0.000627292
65,3371.76,0.94774,0.59253,1.28529,0.92526,0.87429,0.93541,0.66345,1.25506,0.70779,1.7107,0.000610789,0.000610789,0.000610789
66,3422.7,0.9496,0.57858,1.30006,0.92423,0.89131,0.93487,0.66645,1.25005,0.59158,1.68187,0.000594286,0.000594286,0.000594286
67,3471.83,0.97732,0.60947,1.31444,0.95007,0.86081,0.93891,0.67529,1.27473,0.71423,1.81787,0.000577782,0.000577782,0.000577782
68,3524.63,0.96095,0.59206,1.29404,0.95077,0.87348,0.93738,0.68872,1.15846,0.60334,1.6468,0.000561279,0.000561279,0.000561279
69,3579.27,0.94263,0.58904,1.28328,0.91711,0.88934,0.9266,0.67365,1.23529,0.65487,1.70957,0.000544776,0.000544776,0.000544776
70,3634.55,0.92508,0.5709,1.29622,0.92423,0.88642,0.93067,0.65755,1.22356,0.71703,1.70472,0.000528272,0.000528272,0.000528272
71,3686.83,0.94846,0.59398,1.29035,0.95205,0.86458,0.93815,0.67861,1.18532,0.56759,1.61211,0.000511769,0.000511769,0.000511769
72,3740.54,0.95491,0.58983,1.29661,0.91583,0.90403,0.93696,0.6704,1.28228,0.69159,1.83644,0.000495266,0.000495266,0.000495266
73,3790.51,0.92558,0.56495,1.27196,0.92921,0.90857,0.94347,0.69275,1.2532,0.53834,1.75598,0.000478762,0.000478762,0.000478762
74,3840.24,0.93062,0.56834,1.27372,0.94391,0.88273,0.93596,0.69378,1.24263,0.56494,1.7569,0.000462259,0.000462259,0.000462259
75,3891.01,0.90516,0.54672,1.2564,0.92619,0.87199,0.93064,0.69176,1.23876,0.62091,1.82898,0.000445756,0.000445756,0.000445756
76,3939.99,0.92744,0.56473,1.2676,0.90696,0.88368,0.94074,0.68868,1.25601,0.66485,1.77984,0.000429253,0.000429253,0.000429253
77,3992.25,0.90518,0.55375,1.25428,0.92368,0.88784,0.93995,0.67868,1.21834,0.57978,1.66659,0.000412749,0.000412749,0.000412749
78,4041.85,0.88942,0.5384,1.24342,0.94118,0.88813,0.94992,0.69837,1.1792,0.65217,1.68411,0.000396246,0.000396246,0.000396246
79,4093.36,0.89414,0.53172,1.26516,0.942,0.89567,0.94284,0.68855,1.25815,0.63499,1.78913,0.000379743,0.000379743,0.000379743
80,4142.21,0.87402,0.50818,1.24786,0.93248,0.90682,0.93979,0.68986,1.2,0.5942,1.76186,0.000363239,0.000363239,0.000363239
81,4193.76,0.8779,0.52296,1.26033,0.92599,0.88744,0.94776,0.6948,1.21366,0.59948,1.72653,0.000346736,0.000346736,0.000346736
82,4249.11,0.87672,0.51654,1.25733,0.93946,0.88886,0.93858,0.69588,1.2542,0.56787,1.8458,0.000330233,0.000330233,0.000330233
83,4298.36,0.88754,0.52611,1.25249,0.94065,0.90181,0.95064,0.70425,1.14403,0.52541,1.613,0.000313729,0.000313729,0.000313729
84,4349.36,0.85815,0.50866,1.23302,0.94459,0.90183,0.94822,0.68014,1.24046,0.55144,1.61801,0.000297226,0.000297226,0.000297226
85,4398.54,0.86043,0.52092,1.23328,0.94149,0.91362,0.95452,0.68839,1.26671,0.55123,1.70798,0.000280723,0.000280723,0.000280723
86,4448.57,0.85695,0.51317,1.23567,0.94376,0.90467,0.95086,0.68806,1.11256,0.63082,1.5351,0.00026422,0.00026422,0.00026422
87,4501,0.85296,0.50778,1.24461,0.93237,0.91855,0.95438,0.6971,1.18562,0.52457,1.60115,0.000247716,0.000247716,0.000247716
88,4550.21,0.86217,0.52028,1.23847,0.93874,0.90116,0.93653,0.68884,1.11098,0.60697,1.5597,0.000231213,0.000231213,0.000231213
89,4599.47,0.83199,0.49219,1.22264,0.94011,0.90575,0.9429,0.69307,1.16558,0.58641,1.57357,0.00021471,0.00021471,0.00021471
90,4652.99,0.83886,0.5003,1.21932,0.92382,0.92383,0.95152,0.69359,1.20591,0.53234,1.68838,0.000198206,0.000198206,0.000198206
91,4710.89,0.68029,0.37001,1.16939,0.94884,0.88106,0.93998,0.69729,1.22253,0.551,1.67569,0.000181703,0.000181703,0.000181703
92,4762.65,0.65878,0.32547,1.15395,0.93336,0.87805,0.94168,0.70075,1.20935,0.5584,1.73867,0.0001652,0.0001652,0.0001652
93,4812.18,0.65355,0.31728,1.14491,0.92252,0.90484,0.93977,0.69651,1.19931,0.55797,1.70804,0.000148696,0.000148696,0.000148696
94,4863.42,0.65617,0.3206,1.15242,0.94288,0.90773,0.93865,0.68598,1.23982,0.54229,1.77551,0.000132193,0.000132193,0.000132193
95,4912.47,0.63784,0.33394,1.13533,0.94579,0.89257,0.93688,0.68673,1.25143,0.56162,1.83243,0.00011569,0.00011569,0.00011569
96,4963.11,0.60217,0.29591,1.11114,0.94732,0.90398,0.9455,0.68919,1.21349,0.5154,1.79043,9.91865e-05,9.91865e-05,9.91865e-05
97,5015.06,0.61546,0.2945,1.11535,0.96678,0.87884,0.94474,0.69204,1.23609,0.54435,1.81041,8.26832e-05,8.26832e-05,8.26832e-05
98,5063.87,0.60795,0.30711,1.11229,0.93209,0.91065,0.9471,0.69822,1.23663,0.532,1.827,6.61799e-05,6.61799e-05,6.61799e-05
99,5115.56,0.5979,0.29347,1.10431,0.92065,0.91845,0.9396,0.69731,1.22278,0.52772,1.79132,4.96766e-05,4.96766e-05,4.96766e-05
100,5164.06,0.58655,0.29031,1.1116,0.9249,0.91888,0.94484,0.6987,1.21382,0.52561,1.79398,3.31733e-05,3.31733e-05,3.31733e-05
