epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1941,1.5504,2.1942,1.83701,0.15692,0.18615,0.14624,0.04777,2.2934,12.5909,3.68365,0.000550054,0.000550054,0.000550054
2,137.207,1.74151,1.81126,1.93296,0.02241,0.22325,0.01347,0.0041,2.71555,39.4538,6.54032,0.00109928,0.00109928,0.00109928
3,203.454,1.72402,1.82934,1.93368,0.45737,0.48147,0.42755,0.17817,1.93595,9.10608,2.9171,0.00164204,0.00164204,0.00164204
4,267.724,1.6375,1.66382,1.85599,0.68618,0.54564,0.61553,0.33318,1.66932,6.62373,2.35329,0.00163788,0.00163788,0.00163788
5,332.212,1.63225,1.57641,1.83159,0.46588,0.53781,0.51975,0.2502,1.69868,2.05951,2.13659,0.00162817,0.00162817,0.00162817
6,396.2,1.56333,1.53108,1.76923,0.72049,0.58136,0.64148,0.31019,1.72047,1.69304,2.13074,0.00161846,0.00161846,0.00161846
