epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2755,1.44739,2.24532,1.75367,0.43649,0.34116,0.275,0.11506,2.1378,39.8483,3.56612,0.00054928,0.00054928,0.00054928
2,81.9044,1.63273,1.75104,1.84436,0.37025,0.38587,0.31712,0.12547,2.1633,17.9605,3.41914,0.00109401,0.00109401,0.00109401
3,119.411,1.65429,1.72833,1.85511,0.03788,0.0969,0.02943,0.00791,2.41008,143.199,3.95645,0.00162773,0.00162773,0.00162773
4,154.616,1.62425,1.6414,1.81549,0.21444,0.21927,0.11195,0.04892,2.49848,12.2897,3.84986,0.00161749,0.00161749,0.00161749
5,190.093,1.53367,1.47513,1.77318,0.75938,0.61016,0.6601,0.35745,1.75278,2.74858,2.20992,0.00160099,0.00160099,0.00160099
6,225.715,1.47822,1.41573,1.69242,0.73949,0.60648,0.68321,0.37085,1.73206,1.49026,2.25917,0.00158448,0.00158448,0.00158448
7,261.916,1.41083,1.31143,1.65391,0.70645,0.54802,0.63392,0.36423,1.63699,1.90877,2.21046,0.00156798,0.00156798,0.00156798
8,297.869,1.42707,1.2842,1.65894,0.81945,0.64213,0.7025,0.40978,1.66692,1.6605,2.15238,0.00155148,0.00155148,0.00155148
9,333.842,1.4061,1.2925,1.64424,0.78033,0.64539,0.73269,0.43359,1.60916,2.51676,2.20014,0.00153497,0.00153497,0.00153497
10,370.118,1.38129,1.2072,1.61029,0.75276,0.70375,0.78288,0.50134,1.3871,1.34061,1.90291,0.00151847,0.00151847,0.00151847
11,406.194,1.34654,1.13241,1.59267,0.62119,0.67853,0.71421,0.45739,1.3398,1.4769,1.79301,0.00150197,0.00150197,0.00150197
12,442.245,1.30001,1.09505,1.55061,0.89356,0.71118,0.85103,0.5639,1.33974,1.07408,1.80776,0.00148546,0.00148546,0.00148546
